Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys
85,52,88,91,90,86,81,83,90,76,81,15,6,9,7,10,41,36,34,75,75,13,78,81,86,86,76,26,79,64,25,60,86,80
65,94,63,49,62,77,46,44,58,46,47,8,15,5,9,10,80,86,76,61,56,86,57,40,83,70,63,87,70,62,86,84,48,23
40,17,49,34,22,70,19,13,12,12,19,82,87,76,83,81,19,23,51,33,11,11,23,13,84,35,21,12,44,32,13,65,53,17
87,61,91,71,86,75,80,81,91,79,78,9,11,9,10,10,53,18,68,74,75,19,74,82,83,79,84,26,89,73,39,59,74,68
77,77,58,47,77,82,36,46,57,40,54,11,11,9,5,14,83,82,80,76,53,84,43,44,81,75,52,85,81,68,86,85,56,42
63,87,66,57,78,86,52,59,69,59,74,13,14,16,12,12,74,86,87,84,77,83,66,66,83,82,86,86,61,85,87,85,76,53
94,34,96,93,90,78,83,83,88,73,77,8,4,14,9,10,56,26,53,73,80,16,61,83,80,83,70,22,86,75,24,44,87,74
84,70,87,84,84,86,64,74,85,87,71,11,6,9,5,6,72,40,76,59,76,23,84,87,85,79,81,30,87,80,42,79,74,82
54,32,60,61,19,49,11,11,16,15,15,87,82,72,80,85,11,20,74,37,13,12,25,16,82,30,21,14,53,39,14,75,54,11
88,69,89,85,87,79,79,83,87,77,64,5,11,14,5,7,53,64,71,72,75,49,72,82,82,84,87,55,84,86,53,63,85,81
51,31,42,37,19,65,11,24,11,10,66,84,79,79,85,87,13,20,75,26,14,15,23,15,82,24,24,13,54,32,14,80,52,13
46,28,52,44,22,62,9,9,16,9,8,85,84,74,85,83,13,22,73,33,14,8,23,7,81,37,23,18,52,43,15,68,53,10
38,43,37,43,18,62,15,18,17,14,12,84,83,87,81,86,11,22,79,38,10,10,25,11,82,30,22,10,50,35,13,79,57,14
53,86,34,55,59,79,29,35,51,27,26,10,14,5,8,10,85,87,82,59,20,85,39,24,79,63,57,83,58,72,87,90,23,17
93,75,90,86,83,75,82,77,80,73,64,13,15,13,6,13,63,83,81,70,66,81,59,77,82,79,64,83,93,90,84,60,68,60
73,68,83,81,88,86,74,81,87,72,74,11,14,5,5,13,49,79,62,83,74,57,76,79,87,88,77,64,70,71,67,74,87,75
78,80,75,73,79,78,78,66,69,46,58,13,9,10,6,5,76,85,76,74,60,87,66,62,86,80,68,87,79,88,88,73,68,51
86,73,92,79,85,82,85,78,86,74,72,10,7,11,12,11,53,38,72,79,77,37,73,82,80,83,83,56,86,78,59,60,81,77
74,68,79,79,89,84,80,86,86,61,91,7,7,13,7,8,60,74,61,85,82,62,79,70,84,89,78,66,74,78,70,65,88,72
78,78,81,79,85,84,76,78,84,61,78,4,3,4,2,4,68,80,68,85,82,72,78,80,86,87,82,80,78,81,78,70,84,76
68,83,62,55,74,81,68,58,69,56,73,6,10,9,12,7,81,86,83,74,68,84,68,60,82,79,86,86,66,79,86,81,68,52
79,85,76,79,77,82,75,65,73,65,52,8,11,5,10,14,73,85,84,79,66,83,56,68,84,84,74,81,78,94,84,78,75,72
45,31,51,55,15,57,11,17,12,11,12,82,84,77,85,87,12,25,72,34,11,11,25,12,78,33,21,11,50,37,12,76,49,13
75,81,74,60,81,88,84,74,77,59,75,11,15,9,9,5,68,82,63,77,60,85,65,71,83,78,71,86,82,91,83,74,70,56
61,87,60,42,68,81,61,61,63,45,52,10,9,5,8,6,84,80,71,66,55,84,63,41,84,72,75,84,64,74,85,88,59,46
64,70,51,64,65,82,40,50,64,21,31,4,2,4,2,4,72,92,85,65,39,90,60,28,80,65,54,88,76,46,90,87,62,35
75,87,63,63,68,74,51,46,63,33,43,14,14,10,9,8,81,85,84,56,48,82,46,47,78,72,55,85,80,78,85,85,54,42
79,45,78,76,86,82,79,83,83,82,76,13,9,6,12,10,50,45,57,81,87,29,62,72,78,86,84,39,77,73,42,61,83,75
85,58,88,86,89,84,79,79,91,76,63,9,10,14,12,9,51,49,53,78,64,46,64,77,84,84,72,35,78,80,44,54,85,66
68,72,49,55,71,74,58,62,55,45,77,10,11,5,14,5,85,85,77,78,47,86,35,54,82,73,70,85,70,71,88,84,52,40
77,84,74,62,85,86,68,71,83,84,53,7,6,9,11,8,75,67,69,76,79,60,68,86,85,83,77,57,76,89,63,71,83,76
94,73,89,85,84,78,72,74,86,83,64,10,10,15,7,14,53,31,75,71,69,33,71,84,80,77,77,38,92,82,35,72,78,68
76,81,82,79,83,74,83,72,76,41,47,13,13,15,9,15,65,82,76,71,36,85,45,61,81,81,64,86,86,84,85,75,57,34
76,48,81,75,87,81,83,78,88,78,75,11,13,5,13,8,65,36,76,77,81,25,63,79,83,84,86,26,79,68,35,67,84,84
75,55,74,76,77,82,46,58,74,89,45,13,9,5,7,9,84,22,92,54,70,17,78,89,83,73,81,21,80,70,21,74,64,81
78,54,62,56,84,79,73,76,83,82,44,4,5,4,4,5,79,24,79,51,78,14,72,83,81,78,80,20,86,70,14,82,76,81
69,87,50,40,59,78,30,28,54,19,28,7,11,7,13,5,79,86,77,48,15,85,33,24,80,59,55,85,76,73,87,93,34,14
45,41,50,31,22,20,19,12,20,13,15,83,81,83,82,86,14,22,64,32,17,11,21,15,81,35,22,12,51,31,13,67,55,14
72,71,77,78,86,75,84,85,80,71,76,14,12,5,10,13,61,64,61,85,81,63,59,80,84,86,84,51,69,81,66,75,89,56
78,86,68,60,65,75,27,30,54,10,10,8,6,8,15,12,80,85,86,61,12,88,26,25,81,60,43,87,81,78,86,84,22,16
64,79,66,69,70,74,50,55,53,58,47,11,9,15,10,6,81,85,84,69,52,82,54,50,82,77,66,85,69,74,83,81,55,51
76,86,84,82,86,84,74,80,81,71,65,9,12,15,9,8,60,86,63,80,72,80,79,78,85,86,72,76,70,87,78,70,84,69
65,86,65,68,85,85,74,75,76,68,74,7,12,11,6,7,68,84,53,83,78,72,77,78,84,86,85,75,68,82,83,83,84,63
84,56,84,82,87,78,78,81,84,81,57,5,11,12,15,9,55,49,67,70,78,30,66,84,84,83,71,31,80,78,32,56,77,70
44,35,51,52,23,58,15,13,16,8,12,84,82,73,80,85,17,18,74,24,14,14,20,10,80,37,22,16,52,36,13,74,50,13
42,79,53,59,83,86,60,72,75,66,77,13,10,9,11,8,61,85,66,86,81,70,75,69,84,87,84,85,41,76,84,77,83,48
81,59,78,67,83,80,84,73,83,79,76,6,7,10,9,6,78,42,82,72,80,26,76,84,80,78,83,45,87,86,45,75,78,80
67,51,57,36,80,79,63,65,76,87,54,9,11,13,15,15,84,50,66,72,73,11,67,89,83,77,86,16,61,70,28,82,70,77
91,44,89,81,86,79,77,82,87,77,85,14,12,13,7,13,29,55,46,77,81,43,70,80,83,82,71,51,86,87,58,62,83,59
60,82,59,52,81,84,72,68,78,69,68,11,9,5,15,8,76,86,68,81,78,76,69,80,86,85,82,78,68,78,82,89,82,76
38,36,39,36,24,61,14,18,15,11,11,83,86,52,85,87,15,23,72,26,9,12,21,11,84,25,24,10,47,32,12,79,42,11
59,20,62,58,14,39,24,23,15,14,22,86,83,76,82,85,13,22,73,39,23,12,15,12,79,39,24,14,54,43,15,73,46,22
71,52,85,89,87,85,84,84,82,79,84,9,10,14,5,8,59,39,72,77,70,25,81,83,84,86,75,21,63,75,28,43,87,71
72,82,59,51,65,78,45,34,64,45,27,7,4,8,7,11,80,84,82,65,24,86,41,38,78,65,59,84,76,68,86,89,47,31
79,57,79,81,90,86,86,90,89,76,91,11,15,9,14,12,59,37,48,84,83,29,76,79,76,86,78,39,72,73,36,76,87,79
73,75,85,75,82,87,55,83,74,87,71,10,13,6,9,5,90,41,92,58,80,16,84,85,82,78,79,19,66,68,42,75,68,84
74,88,68,62,67,75,52,22,62,32,49,13,11,9,11,7,81,86,82,69,47,83,51,39,82,76,54,84,76,75,87,76,56,35
62,84,62,51,63,75,28,48,58,56,27,5,12,9,5,12,86,83,82,61,66,84,53,45,85,65,63,84,63,69,85,80,56,47
79,78,85,87,86,82,86,80,84,55,74,5,11,9,6,7,72,81,80,77,78,73,70,74,79,83,86,83,84,76,79,55,78,68
94,56,92,94,87,84,82,78,89,78,71,8,11,12,9,6,36,40,70,72,78,24,71,81,83,82,76,34,86,78,30,48,85,72
69,82,53,57,80,87,54,61,79,85,54,14,10,9,15,9,94,23,94,52,80,46,75,86,85,71,83,49,70,64,44,83,73,84
89,62,78,76,87,80,70,75,86,87,58,13,5,7,11,6,76,49,71,68,68,41,70,79,79,78,79,40,90,83,44,74,77,74
93,54,90,85,85,73,77,78,92,77,65,6,6,14,10,13,43,36,59,68,65,29,75,78,82,74,82,33,89,74,30,47,84,76
82,77,90,90,88,79,62,63,90,74,47,7,14,15,14,9,42,79,56,78,66,55,58,74,84,88,76,61,66,88,63,59,81,59
68,89,57,50,56,73,47,36,47,37,44,9,11,7,10,15,79,85,90,58,48,85,38,24,76,68,72,87,72,68,86,84,27,30
54,26,58,50,15,30,12,19,15,15,20,85,79,75,82,86,12,21,68,23,17,16,24,12,77,32,24,17,48,42,13,73,58,16
86,63,85,84,86,79,82,81,88,78,81,11,15,13,7,14,54,66,72,71,76,63,68,76,76,82,82,63,84,79,59,69,82,75
71,61,81,70,85,85,77,74,84,66,67,6,15,8,8,8,55,78,63,78,73,67,66,80,82,83,77,61,75,84,75,69,82,69
51,81,33,32,63,72,30,28,42,20,30,15,7,14,7,15,85,82,38,61,62,81,32,26,80,76,77,82,76,65,86,94,30,29
64,35,60,40,30,58,20,12,21,14,20,81,76,82,78,87,14,25,58,30,18,9,17,16,86,15,42,8,63,38,15,68,60,18
73,83,71,69,80,80,79,71,75,66,45,13,12,6,8,8,75,83,77,74,53,79,91,68,79,82,75,85,75,89,88,80,72,30
93,63,86,84,87,75,73,70,87,79,60,14,14,9,11,14,59,55,70,65,62,37,61,83,82,79,71,41,93,77,43,61,78,71
80,83,79,75,78,78,42,64,78,88,56,13,7,12,14,7,84,31,83,42,67,15,77,85,78,68,81,32,83,84,23,85,61,80
78,62,85,83,85,79,86,81,82,72,77,13,7,9,15,11,45,43,53,70,80,23,64,77,80,86,75,17,72,76,26,63,86,67
69,80,66,68,76,79,72,49,65,33,32,6,6,12,10,13,80,84,85,78,35,85,31,46,81,80,53,86,72,75,85,74,51,31
52,75,45,50,78,89,66,77,79,56,50,6,6,5,14,14,73,84,68,86,58,77,60,62,74,84,59,71,53,84,85,88,78,50
72,80,68,66,75,74,69,72,69,51,63,15,10,14,12,15,72,86,87,73,74,80,61,58,77,79,83,83,75,79,85,78,58,70
85,40,92,85,88,82,81,79,88,74,75,15,9,13,11,6,45,38,62,74,72,25,72,79,75,78,76,19,80,75,23,51,79,71
69,78,57,51,73,82,53,60,70,52,70,13,10,13,11,11,80,83,79,76,64,83,62,41,79,76,81,83,76,76,85,92,59,45
77,66,82,81,85,78,72,80,87,83,67,8,11,9,6,10,72,37,81,75,80,30,72,84,82,83,79,42,77,86,59,76,83,79
67,88,58,60,77,84,50,48,76,56,53,9,7,13,14,15,76,85,67,79,64,80,52,69,76,82,77,78,68,87,85,89,69,55
81,61,75,63,85,70,80,76,86,79,62,11,16,8,14,16,65,25,70,82,73,25,74,80,80,81,77,23,79,81,21,81,78,75
60,35,65,62,21,55,19,15,15,18,14,86,81,71,79,85,16,25,85,31,18,13,16,9,85,32,20,13,64,33,15,65,38,13
68,74,61,60,71,82,49,45,61,25,16,8,10,7,14,13,78,85,71,71,60,87,41,32,78,71,65,82,68,69,86,80,50,27
57,25,70,30,23,58,11,15,19,11,13,80,85,71,78,90,12,19,75,31,17,14,21,12,79,33,23,19,56,30,12,52,44,19
60,81,58,49,71,75,54,63,65,36,22,11,15,10,7,10,85,85,67,74,48,83,42,51,81,77,66,79,73,73,85,81,72,50
78,84,75,82,79,80,60,33,75,50,43,8,6,8,12,13,69,87,85,74,67,80,54,67,79,82,80,85,75,88,87,76,72,32
84,63,88,77,84,73,67,83,85,86,76,12,16,9,12,13,78,36,68,64,80,20,80,85,86,80,79,18,79,70,21,59,68,86
62,90,69,62,64,84,52,50,41,53,39,12,5,8,11,12,83,85,86,66,56,81,44,49,78,71,69,84,64,76,83,80,45,56
62,83,56,53,78,84,68,68,72,64,67,7,15,12,14,9,77,85,71,78,75,75,69,68,82,83,78,75,66,89,83,89,75,74
69,65,79,58,87,79,77,83,88,73,69,14,9,6,10,12,63,69,49,83,76,49,75,78,83,87,78,51,72,67,59,64,86,78
55,58-10,69,72,83,74,84,87,78+3,75,90,5,9,12,14,8,63,68,55,87,80,59,83,79,79,90,80,51,50,76,61,72,85,72
76,30,92,88,85,81,60,74,87,76,63,11,9,8,9,13,42,56,66,73,55,30,78,80,81,84,56,27,65,80,24,39,82,75
78,68,81,77,85,82,82,78,83,70,78,10,14,7,15,14,60,72,69,80,86,60,68,78,82,84,84,68,78,87,72,69,82,78
54,72,38,35,73,78,38,62,64,87,32,6,12,15,11,8,93,39,55,37,74,29,81,88,85,74,83,26,64,84,48,89,68,85
86,78,70,72,76,75,78,76,77,51,71,12,6,16,15,8,73,78,83,67,68,79,63,66,81,75,86,83,93,90,84,77,69,57
75,31,86,80,84,83,70,77,81,75,77,12,10,15,12,12,54,34,66,78,77,37,68,81,81,83,76,47,74,76,50,36,83,63
52,87,43,31,82,85,59,73,72,64,42,7,16,16,16,13,79,85,75,78,66,75,57,70,82,82,79,78,61,86,83,91,77,55
72,81,72,59,73,76,55,53,43,48,45,5,11,12,6,12,81,85,83,70,53,85,57,50,81,78,57,86,69,70,84,81,64,36
72,73,64,61,72,78,49,44,64,28,33,11,8,11,12,15,83,84,82,69,36,86,48,35,81,74,63,82,79,68,85,78,59,55
90,54,85,81,84,79,77,65,82,76,65,8,5,14,11,11,65,40,73,51,80,24,62,88,80,75,78,32,90,92,32,55,78,84
64,79,73,67,85,82,78,79,82,71,75,15,6,8,10,7,61,84,56,84,80,80,85,75,77,83,83,73,65,89,78,62,85,75
88,75,92,93,87,88,73,86,86,83,89,6,3,6,3,3,34,26,34,75,81,23,77,84,82,79,79,28,81,77,29,42,82,75
84,57,87,81,84,80,82,88,85,73,72,8,11,9,7,5,54,40,68,78,74,30,71,79,84,81,72,43,79,69,42,46,82,81
68,88,67,53,77,80,72,64,74,84,49,10,8,5,8,15,90,66,85,65,58,56,76,89,86,75,78,64,76,87,64,87,74,86
74,74,83,76,86,80,74,77,85,79,66,6,15,14,8,11,67,68,73,77,72,60,70,77,78,86,72,62,72,90,67,67,83,72
62,79,63,61,68,82,58,38,60,48,52,14,6,9,10,7,84,83,82,64,31,84,56,51,82,73,62,83,65,68,83,81,57,38
71,69,84,86,85,82,80,83,83,65,81,13,8,7,7,10,45,70,58,85,77,57,67,75,78,88,74,61,67,66,69,67,85,65
53,39,61,54,23,53,12,10,20,12,16,85,81,80,79,82,11,22,79,30,11,13,32,13,80,31,38,11,57,45,13,77,63,17
48,38,55,58,25,57,13,12,15,13,13,81,82,83,80,83,10,21,69,31,12,11,24,15,80,40,23,12,54,45,19,68,58,8
67,83,73,71,84,83,65,68,74,61,61,6,11,12,14,7,71,84,70,80,56,76,56,65,81,86,71,80,68,89,82,77,73,56
66,61,77,69,88,87,70,85,84,87,77,12,11,7,8,5,79,34,69,70,84,23,84,86,85,74,83,25,65,71,36,63,83,85
88,66,82,77,80,85,70,76,76,86,70,6,10,8,8,6,67,38,84,72,76,23,85,86,85,79,84,39,86,76,33,64,76,78
73,83,66,66,76,82,86,80,74,65,47,14,11,14,6,12,74,81,76,69,68,79,65,73,82,78,77,83,84,79,84,79,72,67
39,74,57,38,73,79,62,55,62,58,74,14,6,13,13,14,85,84,79,72,68,84,69,49,77,69,80,82,46,74,85,85,63,49
88,83,75,83,81,82,85,69,82,58,66,16,11,10,7,7,64,80,70,69,62,78,55,75,86,77,85,77,87,90,83,85,71,70+1
62,33,62,47,40,52,18,13,12,12,15,83,82,82,80,86,16,20,60,46,14,14,26,14,80,44,36,13,60,35,14,62,59,15
75,74,82,74,86,89,65,65,87+1,66,55,16,14,11,16,14,69,80,77,80+1,72,70,67,71,80,86,85,71+4,77,77,80,92,79,73
73,52,80,82,88,80,78,78,86,67,76,5,4,10,8,7,60,70,67,86,70,58,72,76,84,89,72,62,67,74,66,66,86,70
67,81,64,72,74,80,69,59,62,64,51,6,7,12,11,14,80,82,84,77,67,88,68,58,76,74,73,84,69,79,88,79,63,44
70,83,76,78,85,80,74,71,77,50,76,14,12,7,12,7,54,84,62,84,75,70,72,55,82,86,77,78,68,82,80,70,80,78
76,78,75,62,79,74,83,80,77,54,59,11,14,10,15,7,59,78,68,66,53,83,66,68,82,77,68,81,87,85,84,74,72,49
34,36,48,47,23,62,11,10,11,12,11,77,84,76,83,80,10,16,68,23,11,14,21,11,79,28,22,14,52,42,13,66,53,14
68,64,79,91,87,88,85,86,85,75,78,6,9,5,7,15,58,65,70,83,78,58,80,79,82,86,77,52,63,68,64,59,86,72
67,88,72,78,80,86,63,63,58,42,50,6,10,8,5,5,68,88,75,75,55,81,60,51,83,79,76,82,64,76,83,74,68,51
70,55,77,85,85,83,86,88,82,72,86,9,5,13,11,12,32,45,30,86,84,32,76,74,77,84,86,37,69,62,41,57,88,80
84,62,92,77,86,79,82,86,87,75,79,5,10,13,6,6,46,31,39,79,83,15,72,77,80,81,85,20,78,74,22,62,80,75
69,84,68,72,78,84,57,62,64,50,71,10,7,13,10,9,81,87,78,82,74,75,75,55,80,82,81,82,68,78,84,83,72,74
50,32,50,60,23,60,11,11,10,14,11,80,83,82,82,82,13,22,73,22,15,12,24,13,82,19,24,24,63,34,22,72,65,11
85,62,91,84,87,79,88,92,89,70,78,12,14,10,5,15,41,24,63,75,83,10,74,75,78,79,83,13,82,69,17,54,80,80
61,78,58,56,82,83,67,82,78,82,86,13,14,6,12,8,72,60,63,81,80,68,89,80,82,84,86,74,64,73,77,92,85,68
59,23,62,46,23,70,13,25,25,12,13,86,74,58,80,85,25,22,77,22,13,11,24,16,77,21,28,13,57,43,11,70,65,14
46,30,64,38,28,68,12,12,24,12,14,88,78,72,78,88,12,26,72,24,18,12,24,14,74,34,24,16,54,34,14,72,50,8
93,58,89,82,84,76,76,82,87,78,62,8,12,9,9,14,72,32,66,64,77,26,63,82,79,75,78,35,94,80,32,70,69,64
